PeriodID,NodeName,CutPattern,CutPatternType,CutPatternOutput,CutPatternOutputQty,DowngradeOutputQty,FgProduct,FgType,FgInput,FgInputQty
1,A01,23101617-ABF-34,001-C09,20001203-ABF-34,1502.997,3925.997,10092841,1,20001203-NFA-1234,6857.002
1,A01,23102761-ABF-34,001-C08,20001203-ABF-34,1500.003,3923.003,10092841,1,20001203-NFA-1234,6857.002
1,A01,23102683-ABF-34,001-C08,20001203-ABF-34,500,2923,10092841,1,20001203-NFA-1234,6857.002
1,A01,23102683-ABF-34,001-C08,20001203-ABF-34,500,500,10098722,1,20001203-NFA-12345,5600
1,A01,23102761-ABF-34,001-C08,20001203-ABF-34,1500.003,1500.003,10098722,1,20001203-NFA-12345,5600
1,A01,23101617-ABF-34,001-C09,20001203-ABF-34,1502.997,1502.997,10098722,1,20001203-NFA-12345,5600
1,A01,23101617-ABF-4,001-C08,20001203-ABF-4,1486.002,1486.002,10044204,1,20001203-ABF-34,1080
1,A01,23101617-ABF-4,001-C08,20001203-ABF-4,1486.002,1486.002,10092841,1,20001203-NFA-1234,6857.002
1,A01,23101617-ABF-4,001-C08,20001203-ABF-4,1486.002,2972.004,10098722,1,20001203-NFA-12345,5600
1,A01,23102770-NFA-23,001-C08,20001203-NFA-23,5734,10168.002,10092841,1,20001203-NFA-1234,6857.002
1,A01,23102770-NFA-23,001-C08,20001203-NFA-23,5734,7033.998,10098722,1,20001203-NFA-12345,5600
1,A01,23102770-NFA-45,001-C08,20001203-NFA-45,2814,5628,10098722,1,20001203-NFA-12345,5600
1,A01,23101630-ABF-34,001-C08,20001301-ABF-34,690,690,10098770,1,20001301-NFA-12345,480
1,A01,23102761-ABF-34,001-C08,20001301-ABF-34,1500.003,1500.003,10098770,1,20001301-NFA-12345,480
1,A01,23101617-ABF-34,001-C09,20001301-ABF-34,1502.997,1502.997,10098770,1,20001301-NFA-12345,480
1,A01,23102761-ABF-34,001-C08,20001301-ABF-34,1500.003,5193.003,10097033,1,20001301-NFA-234,2928
1,A01,23102761-ABF-34,001-C08,20001301-ABF-34,1500.003,5193.003,10092839,1,20001301-NFA-234,4128
1,A01,23101617-ABF-34,001-C09,20001301-ABF-34,1502.997,5195.997,10097033,1,20001301-NFA-234,2928
1,A01,23101617-ABF-34,001-C09,20001301-ABF-34,1502.997,5195.997,10092839,1,20001301-NFA-234,4128
1,A01,23101630-ABF-34,001-C08,20001301-ABF-34,690,4383,10097033,1,20001301-NFA-234,2928
1,A01,23101630-ABF-34,001-C08,20001301-ABF-34,690,4383,10092839,1,20001301-NFA-234,4128
1,A01,23101617-ABF-4,001-C08,20001301-ABF-4,1486.002,1486.002,10098770,1,20001301-NFA-12345,480
1,A01,23101617-ABF-4,001-C08,20001301-ABF-4,1486.002,2972.004,10092839,1,20001301-NFA-234,4128
1,A01,23101617-ABF-4,001-C08,20001301-ABF-4,1486.002,2972.004,10097033,1,20001301-NFA-234,2928
1,A01,23100751-ABF-45,001-C09,20001301-ABF-45,500,500,10098770,1,20001301-NFA-12345,480
1,A01,23101644-HP-23,001-C09,20001301-HP-23,1068,2136.001,10095152,1,20001301-FA-123,1068.006
1,A01,23101644-HP-23,001-C09,20001301-HP-23,1068,1068,10093837,1,20001301-NFA-123,3857.002
1,A01,23101644-HP-23,001-C09,20001301-HP-23,1068,1068,10098770,1,20001301-NFA-12345,480
1,A01,23101644-HP-23,001-C09,20001301-HP-23,1068,1068,10092839,1,20001301-NFA-234,4128
1,A01,23101644-HP-23,001-C09,20001301-HP-23,1068,1068,10097033,1,20001301-NFA-234,2928
1,A01,23101076-NFA-1,001-C09,20001301-NFA-1,710.006,710.006,10093837,1,20001301-NFA-123,3857.002
1,A01,23101076-NFA-1,001-C09,20001301-NFA-1,710.006,710.006,10098770,1,20001301-NFA-12345,480
